crimecode,description,inside_outside,weapon,gender,age,race,district,neighborhood,premise,Month_name,time_of_day
1A,HOMICIDE,Outside,FIREARM,Male,44.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,ARLINGTON,PUBLIC AREA,December,evening
1A,HOMICIDE,Outside,FIREARM,Male,36.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,DOWNTOWN,PUBLIC AREA,December,afternoon
9S,SHOOTING,Outside,FIREARM,Male,42.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,IRVINGTON,STREET,December,night
9S,SHOOTING,Outside,FIREARM,Male,33.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,GLEN,STREET,December,afternoon
9S,SHOOTING,Outside,FIREARM,Male,34.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,MADISON PARK,PARKING LOT,December,afternoon
9S,SHOOTING,Outside,FIREARM,Male,22.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,CHERRY HILL,PUBLIC AREA,December,evening
9S,SHOOTING,Outside,FIREARM,Male,43.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,WOODMERE,STREET,December,afternoon
1A,HOMICIDE,Outside,FIREARM,Male,46.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,SANDTOWN-WINCHESTER,STREET,December,evening
9S,SHOOTING,Outside,FIREARM,Male,43.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,SANDTOWN-WINCHESTER,STREET,December,evening
9S,SHOOTING,Outside,FIREARM,Male,39.0,WHITE,SOUTHERN,BROOKLYN,STREET,December,night
1A,HOMICIDE,Outside,FIREARM,Male,30.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,UNIVERSITY OF MARYLAND,COMMON BUSINESS,December,afternoon
9S,SHOOTING,Outside,FIREARM,Female,51.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,PENN NORTH,PUBLIC AREA,December,night
9S,SHOOTING,Outside,FIREARM,Male,41.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,PENN NORTH,PUBLIC AREA,December,night
1A,HOMICIDE,Outside,FIREARM,Male,21.0,Other,SOUTHERN,LAKELAND,STREET,December,evening
1A,HOMICIDE,Outside,FIREARM,Male,25.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,CARROLLTON RIDGE,STREET,December,afternoon
9S,SHOOTING,Outside,FIREARM,Male,53.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,PENN NORTH,PUBLIC AREA,December,night
1K,HOMICIDE,Outside,KNIFE,Male,60.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,HARLEM PARK,STREET,December,evening
9S,SHOOTING,Outside,FIREARM,Male,17.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,PARKLANE,STREET,December,evening
1A,HOMICIDE,Outside,FIREARM,Male,22.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,HAMPDEN,PUBLIC AREA,December,morning
9S,SHOOTING,Outside,FIREARM,Male,48.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,SAINT JOSEPHS,COMMON BUSINESS,December,afternoon
9S,SHOOTING,Outside,FIREARM,Male,26.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,ROSEMONT,STREET,December,night
1A,HOMICIDE,Inside,FIREARM,Male,20.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,MONDAWMIN,PUBLIC AREA,December,evening
9S,SHOOTING,Outside,FIREARM,Male,16.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,STREET,December,night
1A,HOMICIDE,Outside,FIREARM,Male,50.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,ARLINGTON,PUBLIC AREA,December,afternoon
1A,HOMICIDE,Outside,FIREARM,Male,40.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,MADISON-EASTEND,STREET,December,night
9S,SHOOTING,Outside,FIREARM,Male,30.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,UNIVERSITY OF MARYLAND,STREET,December,night
6J,LARCENY,Outside,NO_Weapon_Involved,Male,37.01136895019874,WHITE,CENTRAL,DOWNTOWN,STREET,December,morning
9S,SHOOTING,Outside,FIREARM,Male,16.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,BOLTON HILL,STREET,December,evening
4E,COMMON ASSAULT,Outside,NO_Weapon_Involved,Male,33.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,DOWNTOWN,STREET,December,afternoon
9S,SHOOTING,Outside,FIREARM,Male,28.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,FRANKLIN SQUARE,STREET,December,evening
1A,HOMICIDE,Outside,FIREARM,Male,21.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,CEDONIA,VEHICLE,December,evening
9S,SHOOTING,Outside,FIREARM,Male,29.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,DRUID HEIGHTS,ALLEY,December,evening
1A,HOMICIDE,Inside,FIREARM,Male,28.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,GAY STREET,DWELLING,December,morning
9S,SHOOTING,Outside,FIREARM,Male,48.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,PARK CIRCLE,STREET,December,night
9S,SHOOTING,Outside,FIREARM,Female,14.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,FRANKLIN SQUARE,STREET,December,night
9S,SHOOTING,Outside,FIREARM,Male,36.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,STREET,December,morning
9S,SHOOTING,Outside,FIREARM,Male,21.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,BROOKLYN,ALLEY,December,afternoon
1A,HOMICIDE,Outside,FIREARM,Male,43.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,SANDTOWN-WINCHESTER,STREET,November,evening
9S,SHOOTING,Outside,FIREARM,Male,24.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,WINCHESTER,STREET,November,morning
9S,SHOOTING,Outside,FIREARM,Male,42.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,GRACELAND PARK,STREET,November,night
