PROGRAM NAME,COURSE CODE,WIL TYPE,Contact Name,Address,City,"22F
# of Students Placed",PAC/PLACE/CAREER
Collborative Nursing,,,Felicia,"Ouellette Ave, Windsor, ON N9A 4J8",Windsor,3,placement
Business Administration - Human Resources,,,Michelle,Sandwich St S. ,Windsor,3,placement
Office Administration - Executive,,,Alicia,City Hall Square Eas,Windsor,3,placement
Diagnostic Medical Sonography ,,,Michael,Multiple locations,Other,1,placement
Diagnostic Medical Sonography ,,,Goran,Multiple locations,Other,,placement
Early Childhood Education,,,Penny,"Malden Rd, Unit",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Melissa,"Union St E, Arkona, ON N0M 1B0",Arkona,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Jas,"Tecumseh Rd. E. Suite , Windsor, ON N8X 4X9",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Erie St. S. Unit, Leamington, ON",Leamington,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Britney,"Adelaide Street N, London, ON",London,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Dougall Ave. Suite , Windsor, ON N9E 1S2",Windsor,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Niki,"Tecumseh Rd. E. Suite #, Windsor ON, N8T 1G3",Windsor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Tecumseh Rd E, Windsor, ON N8N 1M5",Windsor,4,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Tammy,"Ontario St, Stratford, ON N5A 3J5",Stratford,3,placement
Dental Assisting Level I and II,DTL 175A,Simulation,G,"Erie St. S., Leamington, ON N8H 5J6",Leamington,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Wyandotte St. W. Windsor, ON N9B 1J8",Windsor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Ken,"Victoria Ave., Belleville, ON K8N 2B1",Belleville,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Jennifer,"Tecumseh Rd. E., Windsor, ON N8T 3K7",Windsor,4,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Angela,"Huron Church Rd., Windsor, ON",Windsor,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Broadway, Tillsonburg, ON N4G 3S7",Tillsonburg,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Grand Avenue East, Chatham, ON, N7L 1X1",Chatham,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Oak St. E., Leamington, ON N8H 4V4",Leamington,3,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Sherry,"Cabana Rd. E., Windsor, ON ",Windsor,5,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Jennifer,"Sunset Ave., Windsor, ON N9B 3P4",Windsor,6,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Centre Rd, Strathroy, ON N7G 3H6",Strathroy,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Megan,","Cathcart Blvd,Sarnia, ON N7S 2Z4",Sarnia,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Josi,","Grand Marais  Rd. W. Windsor, ON N9E 1E5",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Laura,"Essex County Rd. 22 #, Emeryville, ON N0R 1C0",Emeryville,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Ruth,"Tecumseh Rd E, Windsor, ON N8W 1H8",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Charles,"Tecumseh Rd. E. #140, Windsor, ON N8X 4X9",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Elizabeth,"Finch Dr. Unit, Sarnia, ON N7S 6G5",Sarnia,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Mona,","Creditview Rd Unit , Mississauga, ON L5V 2A8",Mississauga,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Wendy,"Walker Rd, Windsor ON, N8Y 4X9",Windsor ON,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,De,"Erie St. E., Windsor, ON N9A 3X9",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Derek,"Essex County Rd. 22, Emeryville, ON N0R 1C0",Emeryville,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"North Service Rd. E. Unit, Windsor, ON N8W 5R7",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Katie,"Wyandotte St. E., Windsor, ON N8S 1M6",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,M.,"Duncan St., Wallaceburg, ON N8A 4E2",Wallaceburg,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Katie,"King St E, Kitchener, ON N2P 2E9",Kitchener,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Howard Ave. #1, Windsor, ON N8X 4Z3",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Jane,"Tecumseh Rd., Windsor, ON N8N 1M5",Windsor,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Nora,"Dougall Ave. Suite, Winsdor, ON N9E 1S8",Winsdor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Margo,"Harvey St., Chatham, ON N7M 1L5",Chatham,4,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Dougall Ave. Unit Windsor, ON N9G 1X2",Windsor,3,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Iliana,","Tecumseh Rd E #2, Windsor, ON N8W 1H6",Windsor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Brode ,"Forest Glade, Windsor, ON N8R 1W6",Windsor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Corrie,","N Centre Rd. Suite , London, ON N5X 4E7",London,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Linda;,"Walker Rd., Windsor, ON N8W 5L7",Windsor,4,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Craven,"Ingersoll Ave. Suite, Woodstock, ON N4S 4X9",Woodstock,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Ouellette Ave. Windsor, ON N9A 1B3",Windsor,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Rocca,"Michigan Ave., Point Edward, ON N7V 1G8",Point Edward,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Amanda,"Main St. E., Kingsville, ON N9Y 1A3",Kingsville,3,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Pamela,"Howard Ave, Windsor, ON N8X 3V6",Windsor,5,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Jennifer,","Exmouth St, Sarnia, ON N7T 5P7",Sarnia,6,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Carrie,"Front Rd, Windsor, ON N9J 2B6",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Dorothy,"Princess St, Leamington, ON N8H 2Y3",Leamington,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Michaela,"Lakeshore Rd., Sarnia, ON N7V 2V8",Sarnia,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Cabana Rd E, Windsor, ON N9G 1A5",Windsor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Robson Rd., Leamington, ON N8H 2M8",Leamington,4,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Stelica,"Pelissier St, Windsor, ON N9A 4L1",Windsor,3,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Natasha,"Eugenie St. E. 2nd Floor, Windsor, ON N8X 2X8",Windsor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Debbie,"Richmond St. Amherstburg, ON N9V 1G2",Amherstburg,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Debbie,"Tecumseh Rd. E., Windsor, ON N8R 1A5",Windsor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Laurie,"Main St. E., Kingsville, ON N9Y 1H1",Kingsville,4,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Debbie,"Gosfield Townline E., Essex, ON N8M 2R5",Essex,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Eksa,"Talbot St. S. Suite , Essex, ON N8M 1B6",Essex,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Tenecia,"Sandwich W Pkwy #900, Lasalle, ON N9H 2S4",Lasalle,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Aversa,","Howard Ave., Windsor, ON N8X 3W7",Windsor,3,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Tina,","Crownridge Blvd, Amherstburg, ON N9V 3W3",Amherstburg,5,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Britney,"Main St Unit #, Glencoe, ON N0L 1M0",Glencoe,6,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Sue,"Ontario St S, Grand Bend, ON N0M 1T0",Grand Bend,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Ayron,"Main St N, Grand Valley, ON L9W 5S6",Grand Valley,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Brandi,"Manning Rd., Tecumseh, ON N8N 2L9",Tecumseh,4,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Sydney,"Dougall Ave., Windsor, ON N9E 0A2",Windsor,3,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Grand Marais Rd. W #100 Windsor, ON N9E 1E3",Windsor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Tracy,"Erie St. S., Harrow, ON N0R 1G0",Harrow,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Melanie,"Baldoon Rd., Chatham ON N7L 0C1",Chatham,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Gloria,"Tecumseh Rd E. Suite, Windsor, ON N8X 4X9",Windsor,4,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Candace,","Erie St. N., Leamington, ON N8H 2Z4",Leamington,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Courtney,"Main St. E., Kingsville, ON N9Y 1A1",Kingsville,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Main St. E., Kingsville, ON N9Y 1A6",Kingsville,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Jill,"Notre Dame St., Belle River, ON N0R 1A0",Belle River,3,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Jessica,"Advance Blvd. #170, Tecumseh, ON N8N 0B8",Tecumseh,5,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Mike,"Exmouth St., Sarnia, ON N7T 5N8",Sarnia,6,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Nicole,"Malden Rd., Windsor, ON N9H 1S4",Windsor,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Nguyen;,"Clark St. W., Leamington, ON N8H 1E4",Leamington,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Sabrina,"Lauzon Rd Windsor, ON N8S 3M9",Windsor,4,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Amy,"Grand Ave W, Chatham-Kent, ON N7L 1C2",Chatham,3,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Tecumseh Rd. E., Windsor, ON N8W 1C6",Windsor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Mena,"Malden Rd., Windsor, ON N9H 1S6",Windsor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Melissa,"McNaughton Ave., Wallaceburg, Ontario N8A 1R9",Wallaceburg,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Jennifer,"Glendon Dr. Unit, Komoka, ON N0L 1R0",Komoka,4,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Debbie,"Tecumseh Rd. E., Windsor ON N8W 1K6",Windsor,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Marilyn,","Erie St. S., Leamington, ON",Leamington,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Lisa,"Grand Ave E, Chatham-Kent, ON N7L 3Z2",Chatham,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Amrochi,"Mill Rd Unit, Mount Brydges, ON N0L 1W0",Mount Brydges,3,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Debbie,"Concession Dr, Newbury, ON N0L 1Z0",Newbury,5,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Krystle,"St. Clair St., Chatham, ON N7L 3K6",Chatham,6,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Rebeca,","Carling Ave., Ottawa, ON K1Z 8R9",Ottawa,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Dennis,"Sandwich St. S., Amherstburg, ON N9V 1Z9",Amherstburg,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Michael,"Albany St., Petrolia, ON",Petrolia,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Jennifer,"Talbot St. S., Essex, ON N8M 1B3",Essex,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Zachary,"Provincial Rd. #1, Windsor, ON N8W 5V7",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Heba,"Tecumseh Rd. E., Windsor, ON N8X 5E8",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Jen,"Dougall Avenue, Windsor, ON, N9G 1X3",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,Lesperance Rd. Tecumseh ON N8N 1W8,Tecumseh,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Sharon,"Tecumseh Rd. W., Windsor, ON N9B 1T5",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Carolyn,","Ouellette Ave, Windsor, ON N9A 1C9",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Brittany,"Broadway Suite , Tillsonburg, ON N4G 5K9",Tillsonburg,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Bianca,"Southdale Rd. E., London, ON N6E 3M2",London,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Jolanta,"City Centre Dr., # Mississauga , ON  L5B 1M3",Mississauga,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Danielle,","-  Main Street East, Kingsville, ON N9Y 1A5",Kingsville,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Amanda,"Tecumseh Rd. E. Suite, Windsor, ON N8X 4E7",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Heather,","Tecumseh Rd. E., Windsor, ON N8N 3N7",Windsor,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Steeles Ave., Brampton, ON L6Y 4E7",Brampton,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,0,"Airport Rd. #2, Mississauga, ON L4T 2H5",Mississauga,4,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Courtney,","Caradoc St. South Unit , Strathroy, ON, N7G 2P3",Strathroy,3,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Sandy,Grand Marais Rd. W Windsor ON N9E 1E2,Windsor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Britney,"Victoria Street, Thamesville, ON",Thamesville,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Rochelle,"Ouellette Ave., Windsor, ON N8X 1K7",Windsor,1,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Debbie,"Jeffrey St W, Tilbury, ON N0P 2L0",Tilbury,4,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Nathan,"Broadway Apt 100, Tillsonburg, ON N4G 0H8",Tillsonburg,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Angela,","Sprucewood Ave, Windsor, ON N9J 1X7",Windsor,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Eksa,"Lesperance Rd, Windsor, ON N8N 1Y3",Windsor,2,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Denise,"Hawthorne Dr., Windsor, ON N8T 3N3",Windsor,3,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Pona,"Walker Rd. Suite, Windsor, ON N8Y 4T9",Windsor,5,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Jody,","Ottawa St., Windsor, ON N8X 2E8",Windsor,6,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Megan,","Dufferin Ave, Wallaceburg, ON N8A 2W3",Wallaceburg,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,AnneMarie,"Tecumseh Rd. E., Windsor, ON N8T 1C2",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Jennifer,"Electricity Dr., Windsor, ON N8W 5J1",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,"Anderson,","Tecumseh Rd. E., Windsor, ON N8T 1C7",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Lisa,"Wyandotte St. E., Windsor, ON N9Y 1H1",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Anne,"Walker Rd. #250, Windsor ",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Mark,"Walker Rd., Windsor, ON N8W 5L7",Windsor,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Britney,"Oxford Street E, London, ON",London,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Aleshia,"Green St, Waterford, ON N0E 1Y0",Waterford,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Britney,"Watford, ON",Watford,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Danielle,"Dundas St, Woodstock, ON N4S 1B2",Woodstock,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Baillee,"Queen Street East, Sault Ste. Marie, ON  P6A 1Z1",Sault Ste. Marie,,placement
Dental Assisting Level I and II,DTL 175A,Simulation,Denise,"Anchor Dr, Windsor, ON N8N 5G1",Windsor,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Fawn,"Malden Rd #4, Windsor (LaSalle), ON N9H 1S7 ",LaSalle,,placement
Advanced Medical Esthetics Practitioner,MES 300,Simulation,Ginger,"Goyeau St, Windsor, ON N9A 1G5",Windsor,,placement
